Month,Year,Rainfall,WPI,type
4,2012,47.5,102.5,3
5,2012,31.7,107.4,3
6,2012,117.8,109.7,3
7,2012,250.2,115.2,3
8,2012,262.4,119.2,3
9,2012,193.5,119.0,3
10,2012,58.7,118.6,3
11,2012,30.7,118.1,3
12,2012,11.7,117.4,3
1,2013,11.3,119.8,3
2,2013,40.1,120.1,3
3,2013,15.7,119.5,3
4,2013,30.4,126.1,3
5,2013,57.8,127.1,3
6,2013,219.8,130.6,3
7,2013,310.0,131.5,3
8,2013,254.7,132.2,3
9,2013,152.7,132.7,3
10,2013,129.4,130.9,3
11,2013,14.0,134.1,3
12,2013,6.7,135.6,3
1,2014,19.2,136.4,3
2,2014,27.4,136.6,3
3,2014,36.1,140.8,3
4,2014,22.2,143.3,3
5,2014,72.9,145.5,3
6,2014,95.4,146.2,3
7,2014,261.2,147.9,3
8,2014,237.5,150.2,3
9,2014,188.0,152.6,3
10,2014,60.2,152.1,3
11,2014,14.4,153.9,3
12,2014,10.7,157.5,3
1,2015,17.4,166.8,3
2,2015,21.0,166.2,3
3,2015,62.0,164.9,3
4,2015,69.4,165.1,3
5,2015,53.8,177.0,3
6,2015,192.8,186.3,3
7,2015,242.4,188.4,3
8,2015,205.2,195.6,3
9,2015,131.8,195.1,3
10,2015,42.9,197.0,3
11,2015,39.4,198.8,3
12,2015,15.0,195.5,3
1,2016,19.3,190.5,3
2,2016,22.8,184.0,3
3,2016,27.6,182.3,3
4,2016,37.4,186.8,3
5,2016,62.6,190.2,3
6,2016,168.3,191.0,3
7,2016,289.1,190.7,3
8,2016,256.3,185.6,3
9,2016,171.9,182.0,3
10,2016,76.1,179.2,3
11,2016,29.7,176.8,3
12,2016,14.9,169.6,3
1,2017,19.0,161.1,3
2,2017,22.6,156.2,3
3,2017,27.8,154.0,3
4,2017,37.9,155.3,3
5,2017,62.4,148.5,3
6,2017,168.1,144.5,3
7,2017,289.3,137.5,3
8,2017,256.2,136.0,3
9,2017,171.5,138.3,3
10,2017,76.3,133.8,3
11,2017,29.9,130.9,3
12,2017,15.0,130.3,3
1,2018,19.2,126.7,3
2,2018,20.1,122.1,3
3,2018,27.1,120.6,3
4,2018,40.2,120.8,3
5,2018,62.7,120.7,3
6,2018,165.0,117.8,3
7,2018,286.3,117.9,3
8,2018,254.3,121.0,3
9,2018,171.9,121.8,3
10,2018,77.2,121.7,3
11,2018,28.1,121.2,3
12,2018,14.1,124.6,3
